44.987,31.787
43.094,31.884
41.182,32.091
40.125,32.092
39.083,32.151
37.901,32.094
36.006,31.854
34.281,31.073
33.05,29.434
32.182,27.249
31.94,25.276
32.519,23.285
33.189,21.463
33.413,19.384
32.644,17.554
31.474,15.779
29.556,14.814
27.536,14.256
25.38,13.974
23.425,13.686
21.324,13.488
19.334,13.547
17.199,13.435
15.033,13.705
12.883,13.904
11.057,14.996
9.5555,16.259
8.5324,18.068
8.3078,20.108
8.7145,22.283
9.7376,24.1
11.46,25.685
13.285,26.554
14.714,26.806
16.028,26.871
17.36,26.979
18.549,27.247
19.84,27.678
20.968,28.109
22.738,28.187
24.851,28.849
26.979,28.938
29.009,29.417
30.957,29.245
32.943,29.506
